trave_points,stars,users,price,num_of_features,beach,bar,massage,child_care,restaurant_show,bike_rent,car_rent,rooftop,fitness,spa,inclusive,billyard,swimming_pool,kitchen,fishing
8.5,4,1821,651129,6,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0
8.9,0,166,363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,4,1486,452024,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.8,3,1481,536812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,0,89,555989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,5,103,7899928,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
8.3,3,2264,441909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,4,965,1242705,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8.8,4,600,931385,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.4,2,612,315080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,4,740,546526,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
8.4,4,642,1337267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,5,1279,1124158,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
8.7,4,461,1060973,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
8.8,5,914,4009846,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.1,4,258,2346332,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
8.5,3,1973,437056,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
8.9,3,5648,473886,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
9.0,5,177,4820664,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.5,4,1562,951278,5,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
8.2,3,417,406083,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8.8,5,7,17226058,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,5,775,1512454,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.5,0,67,591089,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.1,3,736,397929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,3,382,313648,6,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.3,3,1783,338734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,3,657,379391,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
8.3,3,531,773759,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.7,4,752,1191158,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8.5,0,399,798750,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8.7,4,481,1219149,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
8.6,4,508,525285,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8.3,4,2747,1253225,5,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
8.3,4,177,1036441,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.7,4,690,1636308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,5,307,1894387,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.9,4,196,1305431,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.7,5,94,1915879,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9.0,5,341,8487308,6,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
7.8,2,571,247636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,5,463,2206521,6,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
8.4,5,884,2408147,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,5,361,1410117,6,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
8.4,3,493,477912,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,3,789,519583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,0,21,206583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,3,744,340366,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8.6,3,334,757184,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8.7,3,45,430587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,4,903,478695,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
8.3,3,913,373464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,3,587,379429,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8.1,3,319,922553,6,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
8.6,5,338,3256011,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,3,872,295850,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,4,2146,541861,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.0,5,66,1977762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,3,42,337952,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.6,3,670,491820,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.3,4,48,1119619,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
8.8,5,273,6641433,6,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
8.6,4,184,1148772,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.3,0,651,436940,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9.6,4,16,1685387,5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
9.1,0,128,738362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,3,1043,338720,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8.6,4,723,1567883,6,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
9.2,0,17,934256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,2,226,282061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,0,79,789093,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
9.0,5,137,1852131,6,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
8.9,4,342,563832,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9.1,4,117,1497100,6,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
