name,trave_points,stars,users,price,num_of_features,all_features,location
Grand Livio Kuta Hotel, 8.6 ,3,(2.812),Rp 450.554,6,"['Area main anak', 'Klub anak', 'Sewa mobil', 'Teras rooftop', 'Antar-jemput bandara', 'Bar']","Legian, Kuta"
Ululani Bali, 8.4 ,4,(142),Rp 471.596,3,"['Teras rooftop', 'Fasilitas bisnis', 'Bar']","Pecatu, Uluwatu"
Fairfield by Marriott Bali Kuta Sunset Road, 9 ,4,(366),Rp 1.133.130,0,[],"Kuta, Badung"
Grand Ixora Kuta Resort, 8.5 ,4,(2.871),Rp 582.146,6,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Spa', 'Bar']","Kuta, Badung"
Famous Hotel Kuta, 8.4 ,4,(1.686),Rp 507.959,6,"['Jacuzzi', 'Sewa mobil', 'Layanan pijat', 'Pusat kebugaran', 'Bilyar', 'Bar']","Tuban, Kuta"
Kamaniiya Petitenget Seminyak, 8.9 ,4,(1.142),Rp 603.294,6,"['Pengering pakaian', 'Penyewaan sepeda', 'Pusat kebugaran', 'Fasilitas bisnis', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Seminyak, Kuta"
The Sun Boutique Hotel Kuta, 8.2 ,3,(1.731),Rp 389.064,0,[],"Kuta, Badung"
The Crystal Luxury Bay Nusa Dua, 8.1 ,5,(1.060),Rp 735.775,5,"['Kursi berjemur pantai', 'Layanan pijat', 'Payung pantai', 'Spa', 'Bar']","Nusa Dua, Kuta Selatan"
Stark Boutique Hotel and Spa Bali, 8.2 ,3,(2.664),Rp 453.877,0,[],"Kuta, Badung"
J Hotel Kuta, 8.4 ,3,(3.062),Rp 333.992,4,"['Penitipan sepeda', 'Penyewaan sepeda', 'Sewa mobil', 'Check-out ekspress']","Kuta, Badung"
Paragon Hotel Seminyak, 8.2 ,4,(1.553),Rp 519.586,6,"['Transportasi ke pantai', 'Handuk pantai', 'Layanan pijat', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Seminyak, Kuta"
The ONE Legian, 8.6 ,4,(6.265),Rp 651.435,6,"['Bar', 'Pusat kebugaran', 'Bilyar', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Legian, Kuta"
Buana Bali Villas & Spa, 8.9 ,5,(1.289),Rp 1.015.683,6,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Dapur kecil', 'Spa', 'Bar']","Jimbaran, Kuta Selatan"
Pramana Zahill Kintamani, 9.1 ,4,(255),Rp 959.064,6,"['Lapangan olah raga', 'Kolam air panas outdoor', 'Area main anak', 'Klub anak', 'Penyewaan sepeda', 'Area piknik']","Kintamani, Bangli"
HARRIS Hotel & Residences Sunset Road, 8.6 ,4,(2.255),Rp 708.309,4,"['Area main anak', 'Klub anak', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas']","Denpasar Barat, Denpasar"
Wyndham Tamansari Jivva Resort, 8.7 ,5,(1.158),Rp 816.462,6,"['Selancar', 'Restoran show cooking', 'Bar pantai', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Klungkung, Bali"
TRUNTUM KUTA (Formerly Grand Inna Kuta), 8.6 ,4,(3.618),Rp 1.754.772,6,"['Penitipan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara', 'Bar']","Kuta, Badung"
Infinity8 Bali, 8.7 ,4,(1.876),Rp 573.796,6,"['Sewa mobil', 'Layanan pijat', 'Pusat kebugaran', 'Bilyar', 'Fasilitas bisnis', 'Bar']","Jimbaran, Kuta Selatan"
Grand Hyatt Bali, 8.5 ,5,(722),Rp 3.352.192,6,"['Ruang santai', 'Bersepeda atau bersepeda gunung', 'Fasilitas bisnis', 'Lapangan tennis outdoor', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas']","Nusa Dua Beach, Nusa Dua"
TS Suites Seminyak, 9 ,5,(796),Rp 1.913.072,6,"['Aerobik', 'Bar', 'Bilyar', 'Bar di kolam renang', 'Check-out ekspress', 'Bar']","Seminyak, Kuta"
SAMPATTI VILLAS Seminyak, 8.9 ,5,(252),Rp 2.250.207,0,[],"Seminyak, Kuta"
Merusaka Nusa Dua, 8.9 ,5,(1.964),Rp 3.778.311,6,"['Volley pantai', 'Bar pantai', 'Kursi berjemur pantai', 'Handuk pantai', 'Antar-jemput bandara', 'Bar']","Nusa Dua Beach, Nusa Dua"
J4 Hotels Legian, 8.7 ,4,(2.562),Rp 688.314,6,"['Layanan pijat', 'Teras rooftop', 'Fasilitas bisnis', 'Aksesibel bagi penyandang disabilitas', 'Spa', 'Bar']","Legian, Kuta"
Pullman Bali Legian Beach, 8.3 ,5,(893),Rp 1.889.155,2,"['Penitipan anak', 'Check-out ekspress']","Legian, Kuta"
Anema Villa Seminyak , 8.4 ,4,(903),Rp 1.311.675,5,"['Jacuzzi', 'Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat']","Legian, Kuta"
Diamond Hotel Kuta Bali, 8.3 ,4,(1.623),Rp 722.814,4,"['Pengering pakaian', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Kuta, Badung"
Belle Astina, 8.8 ,0,(92),Rp 1.221.493,1,['Kursi berjemur tepi kolam'],"Canggu, Kuta Utara"
Episode Kuta Bali, 8.7 ,4,(1.967),Rp 983.089,5,"['Ruang santai', 'Area main anak', 'Layanan pijat', 'Pusat kebugaran', 'Spa']","Kuta, Badung"
HARRIS Hotel & Residences Riverview Kuta - Bali, 8.5 ,4,(2.385),Rp 577.097,6,"['Layanan pijat', 'Pusat kebugaran', 'Bilyar', 'Bar di kolam renang', 'Spa', 'Bar']","Kuta, Badung"
Grand Palace Hotel Sanur - Bali, 8.7 ,4,(461),Rp 1.040.675,6,"['Penitipan anak', 'Layanan pijat', 'Pusat kebugaran', 'Antar-jemput bandara', 'Spa', 'Bar']","Sanur, Bali"
Courtyard by Marriott Bali Nusa Dua Resort, 8.8 ,5,(956),Rp 2.281.714,6,"['Olahraga air', 'Aerobik', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Nusa Dua Beach, Nusa Dua"
The Akmani Legian , 8.7 ,4,(1.165),Rp 572.589,5,"['Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Spa', 'Bar']","Legian, Kuta"
Hadi Poetra Hotel, 8.3 ,3,(3.860),Rp 296.778,1,['Antar-jemput bandara'],"Kuta, Badung"
Cozzy Residence Wedasari Bali, 8 ,0,(898),Rp 156.695,0,[],"Denpasar Barat, Denpasar"
The Rooms Apartment Bali by ARM Hospitality, 8.4 ,3,(1.783),Rp 335.329,5,"['Aktivitas outdoor', 'Dapur kecil', 'Antar-jemput bandara', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Denpasar Barat, Denpasar"
Omatha Village, 9 ,3,(138),Rp 428.198,4,"['Aerobik', 'Dapur kecil', 'Check-out ekspress', 'Area piknik']","Denpasar Timur, Denpasar"
Cove De Tinaya, 9.1 ,0,(120),Rp 293.404,0,[],"Denpasar Barat, Denpasar"
Choice Stay Hotel Denpasar, 8.7 ,3,(1.906),Rp 470.801,2,"['Layanan pijat', 'Dapur kecil']","Denpasar Barat, Denpasar"
The Cakra Hotel, 8.7 ,4,(725),Rp 532.851,6,"['Transportasi ke pantai', 'Area main anak', 'Sewa mobil', 'Handuk pantai', 'Bilyar', 'Fasilitas bisnis']","Denpasar Timur, Denpasar"
Hotel Santika Siligita Nusa Dua, 8.6 ,3,(1.057),Rp 842.696,5,"['Transportasi ke pantai', 'Sewa mobil', 'Aksesibel bagi penyandang disabilitas', 'Spa', 'Bar']","Nusa Dua, Kuta Selatan"
Liberta Hotel Seminyak , 8.2 ,3,(1.449),Rp 431.711,5,"['Penitipan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa', 'Bar']","Seminyak, Kuta"
Rabasta Enjoy Kuta, 9.2 ,3,(82),Rp 345.428,2,"['Kursi berjemur tepi kolam', 'Bar']","Kuta, Badung"
Sanur Agung Hotel, 8 ,3,(834),Rp 314.427,0,[],"Sanur, Bali"
The Alea Hotel Seminyak, 8.2 ,3,(5.920),Rp 369.547,6,"['Transportasi ke pantai', 'Sewa mobil', 'Layanan pijat', 'Check-out ekspress', 'Spa', 'Bar']","Seminyak, Kuta"
The Dewi Kintamani, 8.7 ,0,(119),Rp 625.594,1,['Aktivitas outdoor'],"Kintamani, Bangli"
Cara Cara Inn, 8.8 ,3,(4.067),Rp 267.613,1,['Tennis meja'],"Kuta, Badung"
Aishwarya Exclusive Villas, 8 ,4,(819),Rp 725.749,6,"['Restoran show cooking', 'Jacuzzi', 'Handuk pantai', 'Layanan pijat', 'Dapur kecil', 'Check-out ekspress']","Ketewel, Keramas"
ABISHA Hotel Sanur, 8.1 ,3,(1.946),Rp 510.000,3,"['Kursi berjemur tepi kolam', 'Check-out ekspress', 'Bar']","Sanur, Bali"
Cove Vin Stay Petanu, 8.7 ,0,(28),Rp 336.839,0,[],"Denpasar Selatan, Denpasar"
The Capital Hotel and Resort Seminyak, 8.6 ,4,(276),Rp 652.013,6,"['Kursi berjemur pantai', 'Handuk pantai', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Check-out ekspress']","Seminyak, Kuta"
Hotel Puri Ayu, 8.3 ,3,(748),Rp 396.753,6,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Fasilitas bisnis', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Denpasar Barat, Denpasar"
Mamaka by Ovolo, 9 ,4,(309),Rp 1.457.282,6,"['Aerobik', 'Handuk pantai', 'Pusat kebugaran', 'Teras rooftop', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Kuta, Badung"
Anari Villas Kuta, 8.5 ,4,(299),Rp 1.643.083,6,"['Layanan pijat', 'Dapur kecil', 'Aksesibel bagi penyandang disabilitas', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Spa']","Kuta, Badung"
